fs_name,Annual_depreciation_rate,Annual_discount_rate,Annual_insurance_costs_per_crew,Annual_other_income,Crewshare_and_unpaid_labour_costs_percent,Landing_costs_percent,Nb_crew,Nb_Vessels,Opportunity_interest_rate,Other_annual_fixed_costs,Other_variable_costs_per_unit_effort,Standard_annual_full_time_employment_hours,Standard_labour_hour_opportunity_costs,Vessel_value
USA0068,0.04,0.052,0,0,60.0736069,0,4,1,0.05,98620.06756,44.53757829,2080,52.8,1305175.23
USA0069,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0070,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0071,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0072,0.04,0.052,0,0,62.58915034,0,4,1,0.05,93606.65195,44.69057857,2080,52.8,1320869.658
USA0073,0.04,0.052,0,0,59.83800651,0,4,1,0.05,91645.76234,45.50834459,2080,52.8,1405034.121
USA0074,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0075,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0076,0.04,0.052,0,0,65.62460501,0,4,1,0.05,135081.1369,53.42490564,2080,52.8,2911897.237
USA0077,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0078,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0079,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0080,0.04,0.052,0,0,62.04976264,0,4,1,0.05,95475.1182,44.15280271,2080,52.8,1372539.037
USA0081,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0082,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0084,0.04,0.052,0,0,68.79363457,0,3,1,0.05,123281.6093,52.47905632,2080,52.8,2800543.546
USA0085,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0086,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0087,0.04,0.052,0,0,59.96080904,0,4,1,0.05,91670.14586,45.4898042,2080,52.8,1399748.728
USA0088,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0089,0.04,0.052,0,0,59.8568413,0,4,1,0.05,91815.99523,45.48274004,2080,52.8,1404229.474
USA0090,0.04,0.052,0,0,60.9625469,0,4,1,0.05,100037.436,44.17496395,2080,52.8,1366061.53
USA0091,0.04,0.052,0,0,70.82240185,0,3,1,0.05,91975.2366,47.9036812,2080,52.8,2070154.64
USA0092,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0093,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0094,0.04,0.052,0,0,60.93357315,0,4,1,0.05,98469.46668,44.34641981,2080,52.8,1370552.455
USA0095,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0096,0.04,0.052,0,0,60.04033555,0,4,1,0.05,99176.54468,44.48473592,2080,52.8,1294626.811
