"VesselId","nb_vessels","Port","Gear","RelativeEffort","VE_LEN","Tonnage","name_gis_file_for_fishing_effort_per_polygon","name_gis_layer_field","is_gis_layer_field_relative_numbers","xfold_gis_layer_field","dcf_gear","SAB_kg_h","SJU_kg_h","SJZ_kg_h","MIP_kg_h","EOJ_kg_h","SGO_kg_h","OTH_kg_h","mean_kW","fishing.speed.knots","cruise.speed.knots","fuel.cons.h","fuel.tank.liter","ave.storage.fish.kg","nb_pings_per_trip","Gamma_shape","Gamma_scale","trip.duration.h","multip.fuel.steaming","multip.fuel.fishing","multip.fuel.ret.port.fish","multip.fuel.inactive","weekEndStartDay","WeekEndEndDay","WorkHoursStart","WorkHoursEnd","vessel_range_km","kW"
"USA0043",1,"Monterey","dts_trawl_2",0.465290419030031,17.219,68.914,"fe_code_USA0043_dts_trawl","fe",FALSE,1,"dts_trawl_2",10.173,9.143,18.187,209.052,7.333,20.212,28,274.773,2.31,7.472,70.883,13843.742,9575.736,1,0.4485,336.7618,35.188,0.8,1,1.1,0.1,1,7,1,23,221.327,NA
"USA0043",1,"San_Francisco","non_dts_trawl_3",0.0140306907619927,17.31,68.428,"fe_code_USA0043_non_dts_trawl","fe",FALSE,1,"non_dts_trawl_3",12.402,5.628,14.498,180.043,47.397,46.044,69.603,297.052,2.342,7.022,73.618,13485.971,10027.538,1,0.4485,336.7618,34.114,0.8,1,1.1,0.1,1,7,1,23,207.851,NA
"USA0043",1,"San_Francisco","dts_trawl_2",0.0098755661082531,18.294,68.776,"fe_code_USA0043_dts_trawl","fe",FALSE,1,"dts_trawl_2",11.013,9.058,19.632,207.018,7.579,20.039,28.315,276.616,2.435,7.085,70.722,12999.885,10034.989,1,0.4485,336.7618,36.776,0.8,1,1.1,0.1,1,7,1,23,210.749,NA
"USA0044",1,"Moss_Landing","dts_longline_4",0.0575099508311867,6.477,2.073,"fe_code_USA0044_dts_longline","fe",FALSE,1,"dts_longline_4",18.619,4.679,2.775,0.063,NA,NA,0.916,111.176,1.658,18.168,30.736,58.868,292.727,1,0.4485,336.7618,13.313,0.8,1,1.1,0.1,1,7,1,23,253.805,NA
"USA0044",1,"Moss_Landing","non_dts_other_1",0.00526808709904,6.651,2.015,"fe_code_USA0044_non_dts_other","fe",FALSE,1,"non_dts_other_1",NA,NA,NA,NA,NA,NA,9.271,106.088,1.652,17.786,29.753,59.785,275.181,1,0.4485,336.7618,13.848,0.8,1,1.1,0.1,1,7,1,23,247.232,NA
"USA0044",1,"Newport_Beach","dts_longline_4",0.935217162257083,6.512,1.963,"fe_code_USA0044_dts_longline","fe",FALSE,1,"dts_longline_4",18.79,4.721,2.563,0.065,NA,NA,0.887,105.389,1.513,17.938,30.107,58.896,286.765,1,0.4485,336.7618,14.169,0.8,1,1.1,0.1,1,7,1,23,237.955,NA
"USA0044",1,"Newport_Beach","non_dts_other_1",0.00200479981269022,6.553,2.092,"fe_code_USA0044_non_dts_other","fe",FALSE,1,"non_dts_other_1",NA,NA,NA,NA,NA,NA,8.742,109.743,1.506,18.374,30.466,61.412,299.293,1,0.4485,336.7618,13.29,0.8,1,1.1,0.1,1,7,1,23,248.614,NA
"USA0045",1,"Newport_Beach","dts_longline_3",0.511939205273759,10.774,14.332,"fe_code_USA0045_dts_longline","fe",FALSE,1,"dts_longline_3",15.105,5.468,1.634,0.302,0.293,NA,4.267,174.08,2.02,8.962,47.43,881.682,348.949,1,0.4485,336.7618,19.481,0.8,1,1.1,0.1,1,7,1,23,292.89,NA
"USA0045",1,"Newport_Beach","non_dts_other_3",0.488060794726241,10.923,14.247,"fe_code_USA0045_non_dts_other","fe",FALSE,1,"non_dts_other_3",3.87,4.13,0.722,0.299,NA,NA,26.347,175.953,1.897,8.429,45.795,931.413,340.183,1,0.4485,336.7618,17.937,0.8,1,1.1,0.1,1,7,1,23,280.385,NA
"USA0046",1,"Oceanside","dts_longline_4",0.979319504174045,13.182,18.779,"fe_code_USA0046_dts_longline","fe",FALSE,1,"dts_longline_4",45.805,7.559,0.799,NA,NA,NA,4.719,172.179,0.958,9.022,41.45,3129.048,1138.137,1,0.4485,336.7618,36.675,0.8,1,1.1,0.1,1,7,1,23,438.916,NA
"USA0046",1,"Oceanside","non_dts_other_1",0.020680495825955,13.137,18.657,"fe_code_USA0046_non_dts_other","fe",FALSE,1,"non_dts_other_1",NA,NA,NA,NA,NA,NA,17.78,169.522,0.896,9.35,42.348,3260.499,1072.079,1,0.4485,336.7618,35.824,0.8,1,1.1,0.1,1,7,1,23,442.117,NA
"USA0047",1,"Moss_Landing","dts_longline_3",0.410167776747323,6.784,3.529,"fe_code_USA0047_dts_longline","fe",FALSE,1,"dts_longline_3",183.273,6.823,1.973,0.881,0.402,8.643,36.4,146.489,0.667,23.025,38.284,62.379,562.812,1,0.4485,336.7618,4.392,0.8,1,1.1,0.1,1,7,1,23,64.643,NA
"USA0047",1,"Moss_Landing","non_dts_other_3",0.589832223252677,6.434,3.267,"fe_code_USA0047_non_dts_other","fe",FALSE,1,"non_dts_other_3",74.964,NA,NA,NA,NA,30.434,43.16,132.762,0.681,22.988,36.274,59.832,579.374,1,0.4485,336.7618,4.586,0.8,1,1.1,0.1,1,7,1,23,67.543,NA
"USA0048",1,"Moss_Landing","non_dts_other_5",0.415031245611567,7.38,6.095,"fe_code_USA0048_non_dts_other","fe",FALSE,1,"non_dts_other_5",42.965,2.128,0.605,0.734,0.409,33.161,27.893,176.837,1.077,19.398,46.12,57.917,613.768,1,0.4485,336.7618,7.793,0.8,1,1.1,0.1,1,7,1,23,118.028,NA
"USA0048",1,"Moss_Landing","dts_longline_5",0.555147919299729,7.454,6.4,"fe_code_USA0048_dts_longline","fe",FALSE,1,"dts_longline_5",72.11,6.143,0.966,0.778,0.438,2.376,9.966,174.488,1.08,19.772,44.772,58.496,603.457,1,0.4485,336.7618,7.833,0.8,1,1.1,0.1,1,7,1,23,120.16,NA
"USA0048",1,"Moss_Landing","dts_trap_3",0.0213599447643116,7.154,6.302,"fe_code_USA0048_dts_trap","fe",FALSE,1,"dts_trap_3",38.369,3.635,0.112,0.972,NA,NA,2.568,172.771,1.112,20.458,46.617,59.763,612.404,1,0.4485,336.7618,7.43,0.8,1,1.1,0.1,1,7,1,23,110.207,NA
"USA0048",1,"Morro_Bay","dts_longline_5",0.00846089032439239,7.284,6.293,"fe_code_USA0048_dts_longline","fe",FALSE,1,"dts_longline_5",71.253,6.192,0.962,0.757,0.434,2.326,9.59,173.17,1.095,19.216,44.768,60.504,593.214,1,0.4485,336.7618,7.267,0.8,1,1.1,0.1,1,7,1,23,116.458,NA
"USA0049",1,"Moss_Landing","non_dts_other_3",0.180038672197756,11.538,13.787,"fe_code_USA0049_non_dts_other","fe",FALSE,1,"non_dts_other_3",0.799,3.545,0.636,NA,NA,NA,3.496,171.637,2.132,6.836,43.229,1243.959,239.757,1,0.4485,336.7618,30.255,0.8,1,1.1,0.1,1,7,1,23,155.869,NA
"USA0049",1,"San_Francisco","non_dts_other_3",0.0957435028152338,10.856,14.077,"fe_code_USA0049_non_dts_other","fe",FALSE,1,"non_dts_other_3",0.771,3.379,0.597,NA,NA,NA,3.517,175.627,1.997,6.823,43.132,1231.339,236.631,1,0.4485,336.7618,30.71,0.8,1,1.1,0.1,1,7,1,23,164.352,NA
"USA0049",1,"Newport_Beach","dts_longline_3",0.686874451646976,10.865,13.492,"fe_code_USA0049_dts_longline","fe",FALSE,1,"dts_longline_3",6.582,3.173,2.334,NA,NA,NA,NA,170.579,2.022,6.595,42.757,1320.83,233.031,1,0.4485,336.7618,30.857,0.8,1,1.1,0.1,1,7,1,23,159.173,NA
"USA0049",1,"Newport_Beach","non_dts_other_3",0.0373433733400342,10.683,14.399,"fe_code_USA0049_non_dts_other","fe",FALSE,1,"non_dts_other_3",0.729,3.605,0.63,NA,NA,NA,3.685,164.078,2.148,6.691,42.891,1310.199,245.617,1,0.4485,336.7618,31.119,0.8,1,1.1,0.1,1,7,1,23,167.009,NA
"USA0050",1,"Morro_Bay","non_dts_other_5",0.515781065198679,10.397,20.774,"fe_code_USA0050_non_dts_other","fe",FALSE,1,"non_dts_other_5",12.243,3.455,0.604,0.055,NA,0.165,9.835,180.604,1.312,8.771,47.004,872.801,937.96,1,0.4485,336.7618,28.53,0.8,1,1.1,0.1,1,7,1,23,268.821,NA
"USA0050",1,"Morro_Bay","dts_longline_5",0.484218934801321,10.916,19.408,"fe_code_USA0050_dts_longline","fe",FALSE,1,"dts_longline_5",56.68,8.241,1.036,0.113,0.287,NA,5.129,180.269,1.317,8.472,46.494,803.065,954.03,1,0.4485,336.7618,27.764,0.8,1,1.1,0.1,1,7,1,23,260.894,NA
"USA0051",1,"San_Francisco","non_dts_other_3",0.262078055380596,11.039,14.301,"fe_code_USA0051_non_dts_other","fe",FALSE,1,"non_dts_other_3",25.585,NA,NA,NA,NA,NA,5.442,183.125,2.522,5.622,47.869,849.355,332.393,1,0.4485,336.7618,17.102,0.8,1,1.1,0.1,1,7,1,23,135.602,NA
"USA0051",1,"San_Francisco","dts_trap_2",0.0383161872769263,10.665,14.058,"fe_code_USA0051_dts_trap","fe",FALSE,1,"dts_trap_2",25.089,NA,NA,NA,NA,NA,NA,187.375,2.492,5.519,46.734,873.951,310.834,1,0.4485,336.7618,16.44,0.8,1,1.1,0.1,1,7,1,23,137.817,NA
