VE_REF,Nb_Vessels,Nb_crew,Annual_other_income,Landing_costs_percent,Crewshare_and_unpaid_labour_costs_percent,Other_variable_costs_per_unit_effort,Annual_insurance_costs_per_crew,Standard_labour_hour_opportunity_costs,Standard_annual_full_time_employment_hours,Other_annual_fixed_costs,Vessel_value,Annual_depreciation_rate,Opportunity_interest_rate,Annual_discount_rate
USA0122,1,3,0,0,67.28056279,52.52369273,0,52.8,2080,130526.8977,2836383.609,0.04,0.05,0.052
USA0123,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0124,1,3,0,0,66.99221689,46.59187783,0,52.8,2080,94911.55277,1840072.715,0.04,0.05,0.052
USA0125,1,3,0,0,69.75472567,52.71422599,0,52.8,2080,122247.9308,2847027.822,0.04,0.05,0.052
USA0126,1,3,0,0,68.41448602,53.42434978,0,52.8,2080,119769.9876,2830197.964,0.04,0.05,0.052
USA0127,1,4,0,0,63.33241942,44.97039517,0,52.8,2080,92574.12578,1280864.256,0.04,0.05,0.052
USA0128,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0129,1,3,0,0,66.23828736,52.56332338,0,52.8,2080,136003.8919,2863831.981,0.04,0.05,0.052
USA0130,1,4,0,0,60.5771551,45.31121408,0,52.8,2080,92155.38603,1377408.225,0.04,0.05,0.052
USA0131,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0132,1,4,0,0,63.19516307,44.88060195,0,52.8,2080,92854.5373,1285549.055,0.04,0.05,0.052
USA0133,1,3,0,0,68.83226167,53.8665702,0,52.8,2080,121497.3293,2874203.884,0.04,0.05,0.052
USA0134,1,4,0,0,64.07871487,53.91714452,0,52.8,2080,156551.0509,2970535.865,0.04,0.05,0.052
USA0135,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0136,1,4,0,0,63.28777997,44.94968339,0,52.8,2080,92607.54153,1277996.685,0.04,0.05,0.052
USA0137,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0138,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0139,1,4,0,0,63.18901895,53.19912676,0,52.8,2080,160938.3641,3100695.758,0.04,0.05,0.052
USA0140,1,4,0,0,61.94898906,43.92496568,0,52.8,2080,96237.4782,1388988.974,0.04,0.05,0.052
USA0141,1,3,0,0,69.83079999,52.77126207,0,52.8,2080,121993.372,2838581.226,0.04,0.05,0.052
USA0142,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0143,1,4,0,0,63.28558089,44.94804616,0,52.8,2080,92613.39919,1278175.794,0.04,0.05,0.052
USA0144,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0145,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0146,1,4,0,0,60.96439674,44.17434243,0,52.8,2080,100039.1852,1366206.669,0.04,0.05,0.052
USA0147,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0148,1,4,0,0,63.44624211,53.47847275,0,52.8,2080,159521.0401,3051855.745,0.04,0.05,0.052
USA0149,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0150,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0151,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0152,1,3,0,0,71.49956199,48.38865542,0,52.8,2080,90350.67747,2014600.246,0.04,0.05,0.052
USA0153,1,3,0,0,68.41448602,53.42434978,0,52.8,2080,119769.9876,2830197.964,0.04,0.05,0.052
USA0154,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0155,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
